,icd_code,icd_code_desc,icd_code_desc_de
73460,E1090,,"Diabetes mellitus, Typ 1: Ohne Komplikationen: Nicht als entgleist bezeichnet"
73461,E1091,,"Diabetes mellitus, Typ 1: Ohne Komplikationen: Als entgleist bezeichnet"
73462,E11,,"Diabetes mellitus, Typ 2"
73463,E110,,"Diabetes mellitus, Typ 2: Mit Koma"
73464,E111,,"Diabetes mellitus, Typ 2: Mit Ketoazidose"
73465,E112,,"Diabetes mellitus, Typ 2: Mit Nierenkomplikationen"
73466,E1120,,"Diabetes mellitus, Typ 2: Mit Nierenkomplikationen: Nicht als entgleist bezeichnet"
73467,E113,,"Diabetes mellitus, Typ 2: Mit Augenkomplikationen"
73468,E1130,,"Diabetes mellitus, Typ 2: Mit Augenkomplikationen: Nicht als entgleist bezeichnet"
73469,E114,,"Diabetes mellitus, Typ 2: Mit neurologischen Komplikationen"
73470,E115,,"Diabetes mellitus, Typ 2: Mit peripheren vaskulären Komplikationen"
73471,E1150,,"Diabetes mellitus, Typ 2: Mit peripheren vaskulären Komplikationen: Nicht als entgleist bezeichnet"
73472,E116,,"Diabetes mellitus, Typ 2: Mit sonstigen näher bezeichneten Komplikationen"
73473,E1160,,"Diabetes mellitus, Typ 2: Mit sonstigen näher bezeichneten Komplikationen: Nicht als entgleist bezeichnet"
73474,E117,,"Diabetes mellitus, Typ 2: Mit multiplen Komplikationen"
73475,E1172,,"Diabetes mellitus, Typ 2: Mit multiplen Komplikationen: Mit sonstigen multiplen Komplikationen, nicht als entgleist bezeichnet"
73476,E1173,,"Diabetes mellitus, Typ 2: Mit multiplen Komplikationen: Mit sonstigen multiplen Komplikationen, als entgleist bezeichnet"
73477,E1174,,"Diabetes mellitus, Typ 2: Mit multiplen Komplikationen: Mit diabetischem Fußsyndrom, nicht als entgleist bezeichnet"
73478,E1175,,"Diabetes mellitus, Typ 2: Mit multiplen Komplikationen: Mit diabetischem Fußsyndrom, als entgleist bezeichnet"
73479,E1180,,"Diabetes mellitus, Typ 2: Mit nicht näher bezeichneten Komplikationen: Nicht als entgleist bezeichnet"
73480,E1181,,"Diabetes mellitus, Typ 2: Mit nicht näher bezeichneten Komplikationen: Als entgleist bezeichnet"
73481,E1190,,"Diabetes mellitus, Typ 2: Ohne Komplikationen: Nicht als entgleist bezeichnet"
73482,E1191,,"Diabetes mellitus, Typ 2: Ohne Komplikationen: Als entgleist bezeichnet"
73483,E12,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]
73484,E120,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit Koma
73485,E1201,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit Koma: Als entgleist bezeichnet
73486,E121,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit Ketoazidose
73487,E1211,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit Ketoazidose: Als entgleist bezeichnet
73488,E122,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit Nierenkomplikationen
73489,E1220,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit Nierenkomplikationen: Nicht als entgleist bezeichnet
73490,E1221,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit Nierenkomplikationen: Als entgleist bezeichnet
73491,E123,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit Augenkomplikationen
73492,E1230,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit Augenkomplikationen: Nicht als entgleist bezeichnet
73493,E1231,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit Augenkomplikationen: Als entgleist bezeichnet
73494,E124,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit neurologischen Komplikationen
73495,E1240,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit neurologischen Komplikationen: Nicht als entgleist bezeichnet
73496,E1241,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit neurologischen Komplikationen: Als entgleist bezeichnet
73497,E125,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit peripheren vaskulären Komplikationen
73498,E1250,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit peripheren vaskulären Komplikationen: Nicht als entgleist bezeichnet
73499,E1251,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit peripheren vaskulären Komplikationen: Als entgleist bezeichnet
73500,E126,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit sonstigen näher bezeichneten Komplikationen
73501,E1260,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit sonstigen näher bezeichneten Komplikationen: Nicht als entgleist bezeichnet
73502,E1261,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit sonstigen näher bezeichneten Komplikationen: Als entgleist bezeichnet
73503,E127,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit multiplen Komplikationen
73504,E1272,,"Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit multiplen Komplikationen: Mit sonstigen multiplen Komplikationen, nicht als entgleist bezeichnet"
73505,E1273,,"Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit multiplen Komplikationen: Mit sonstigen multiplen Komplikationen, als entgleist bezeichnet"
73506,E1274,,"Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit multiplen Komplikationen: Mit diabetischem Fußsyndrom, nicht als entgleist bezeichnet"
73507,E1275,,"Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit multiplen Komplikationen: Mit diabetischem Fußsyndrom, als entgleist bezeichnet"
73508,E128,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit nicht näher bezeichneten Komplikationen
73509,E1280,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit nicht näher bezeichneten Komplikationen: Nicht als entgleist bezeichnet
73510,E1281,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit nicht näher bezeichneten Komplikationen: Als entgleist bezeichnet
73511,E129,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Ohne Komplikationen
73512,E1290,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Ohne Komplikationen: Nicht als entgleist bezeichnet
73513,E1291,,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Ohne Komplikationen: Als entgleist bezeichnet
73514,E13,,Sonstiger näher bezeichneter Diabetes mellitus
73515,E130,,Sonstiger näher bezeichneter Diabetes mellitus: Mit Koma
73516,E131,,Sonstiger näher bezeichneter Diabetes mellitus: Mit Ketoazidose
73517,E132,,Sonstiger näher bezeichneter Diabetes mellitus: Mit Nierenkomplikationen
73518,E1320,,Sonstiger näher bezeichneter Diabetes mellitus: Mit Nierenkomplikationen: Nicht als entgleist bezeichnet
73519,E133,,Sonstiger näher bezeichneter Diabetes mellitus: Mit Augenkomplikationen
73520,E1330,,Sonstiger näher bezeichneter Diabetes mellitus: Mit Augenkomplikationen: Nicht als entgleist bezeichnet
73521,E134,,Sonstiger näher bezeichneter Diabetes mellitus: Mit neurologischen Komplikationen
73522,E135,,Sonstiger näher bezeichneter Diabetes mellitus: Mit peripheren vaskulären Komplikationen
73523,E1350,,Sonstiger näher bezeichneter Diabetes mellitus: Mit peripheren vaskulären Komplikationen: Nicht als entgleist bezeichnet
73524,E136,,Sonstiger näher bezeichneter Diabetes mellitus: Mit sonstigen näher bezeichneten Komplikationen
73525,E1360,,Sonstiger näher bezeichneter Diabetes mellitus: Mit sonstigen näher bezeichneten Komplikationen: Nicht als entgleist bezeichnet
73526,E137,,Sonstiger näher bezeichneter Diabetes mellitus: Mit multiplen Komplikationen
73527,E1372,,"Sonstiger näher bezeichneter Diabetes mellitus: Mit multiplen Komplikationen: Mit sonstigen multiplen Komplikationen, nicht als entgleist bezeichnet"
73528,E1373,,"Sonstiger näher bezeichneter Diabetes mellitus: Mit multiplen Komplikationen: Mit sonstigen multiplen Komplikationen, als entgleist bezeichnet"
73529,E1374,,"Sonstiger näher bezeichneter Diabetes mellitus: Mit multiplen Komplikationen: Mit diabetischem Fußsyndrom, nicht als entgleist bezeichnet"
73530,E1375,,"Sonstiger näher bezeichneter Diabetes mellitus: Mit multiplen Komplikationen: Mit diabetischem Fußsyndrom, als entgleist bezeichnet"
73531,E1380,,Sonstiger näher bezeichneter Diabetes mellitus: Mit nicht näher bezeichneten Komplikationen: Nicht als entgleist bezeichnet
73532,E1381,,Sonstiger näher bezeichneter Diabetes mellitus: Mit nicht näher bezeichneten Komplikationen: Als entgleist bezeichnet
73533,E1390,,Sonstiger näher bezeichneter Diabetes mellitus: Ohne Komplikationen: Nicht als entgleist bezeichnet
73534,E1391,,Sonstiger näher bezeichneter Diabetes mellitus: Ohne Komplikationen: Als entgleist bezeichnet
73535,E14,,Nicht näher bezeichneter Diabetes mellitus
73536,E140,,Nicht näher bezeichneter Diabetes mellitus: Mit Koma
73537,E1401,,Nicht näher bezeichneter Diabetes mellitus: Mit Koma: Als entgleist bezeichnet
73538,E141,,Nicht näher bezeichneter Diabetes mellitus: Mit Ketoazidose
73539,E1411,,Nicht näher bezeichneter Diabetes mellitus: Mit Ketoazidose: Als entgleist bezeichnet
73540,E142,,Nicht näher bezeichneter Diabetes mellitus: Mit Nierenkomplikationen
73541,E1420,,Nicht näher bezeichneter Diabetes mellitus: Mit Nierenkomplikationen: Nicht als entgleist bezeichnet
73542,E1421,,Nicht näher bezeichneter Diabetes mellitus: Mit Nierenkomplikationen: Als entgleist bezeichnet
73543,E143,,Nicht näher bezeichneter Diabetes mellitus: Mit Augenkomplikationen
73544,E1430,,Nicht näher bezeichneter Diabetes mellitus: Mit Augenkomplikationen: Nicht als entgleist bezeichnet
73545,E1431,,Nicht näher bezeichneter Diabetes mellitus: Mit Augenkomplikationen: Als entgleist bezeichnet
73546,E144,,Nicht näher bezeichneter Diabetes mellitus: Mit neurologischen Komplikationen
73547,E1440,,Nicht näher bezeichneter Diabetes mellitus: Mit neurologischen Komplikationen: Nicht als entgleist bezeichnet
73548,E1441,,Nicht näher bezeichneter Diabetes mellitus: Mit neurologischen Komplikationen: Als entgleist bezeichnet
73549,E145,,Nicht näher bezeichneter Diabetes mellitus: Mit peripheren vaskulären Komplikationen
73550,E1450,,Nicht näher bezeichneter Diabetes mellitus: Mit peripheren vaskulären Komplikationen: Nicht als entgleist bezeichnet
73551,E1451,,Nicht näher bezeichneter Diabetes mellitus: Mit peripheren vaskulären Komplikationen: Als entgleist bezeichnet
73552,E146,,Nicht näher bezeichneter Diabetes mellitus: Mit sonstigen näher bezeichneten Komplikationen
73553,E1460,,Nicht näher bezeichneter Diabetes mellitus: Mit sonstigen näher bezeichneten Komplikationen: Nicht als entgleist bezeichnet
73554,E1461,,Nicht näher bezeichneter Diabetes mellitus: Mit sonstigen näher bezeichneten Komplikationen: Als entgleist bezeichnet
73555,E147,,Nicht näher bezeichneter Diabetes mellitus: Mit multiplen Komplikationen
73556,E1472,,"Nicht näher bezeichneter Diabetes mellitus: Mit multiplen Komplikationen: Mit sonstigen multiplen Komplikationen, nicht als entgleist bezeichnet"
73557,E1473,,"Nicht näher bezeichneter Diabetes mellitus: Mit multiplen Komplikationen: Mit sonstigen multiplen Komplikationen, als entgleist bezeichnet"
73558,E1474,,"Nicht näher bezeichneter Diabetes mellitus: Mit multiplen Komplikationen: Mit diabetischem Fußsyndrom, nicht als entgleist bezeichnet"
73559,E1475,,"Nicht näher bezeichneter Diabetes mellitus: Mit multiplen Komplikationen: Mit diabetischem Fußsyndrom, als entgleist bezeichnet"
73560,E148,,Nicht näher bezeichneter Diabetes mellitus: Mit nicht näher bezeichneten Komplikationen
73561,E1480,,Nicht näher bezeichneter Diabetes mellitus: Mit nicht näher bezeichneten Komplikationen: Nicht als entgleist bezeichnet
73562,E1481,,Nicht näher bezeichneter Diabetes mellitus: Mit nicht näher bezeichneten Komplikationen: Als entgleist bezeichnet
73563,E149,,Nicht näher bezeichneter Diabetes mellitus: Ohne Komplikationen
73564,E1490,,Nicht näher bezeichneter Diabetes mellitus: Ohne Komplikationen: Nicht als entgleist bezeichnet
73565,E1491,,Nicht näher bezeichneter Diabetes mellitus: Ohne Komplikationen: Als entgleist bezeichnet
73566,E16,,Sonstige Störungen der inneren Sekretion des Pankreas
73567,E20,,Hypoparathyreoidismus
73568,E21,,Hyperparathyreoidismus und sonstige Krankheiten der Nebenschilddrüse
73569,E22,,Überfunktion der Hypophyse
73570,E23,,Unterfunktion und andere Störungen der Hypophyse
73571,E24,,Cushing-Syndrom
73572,E25,,Adrenogenitale Störungen
73573,E2500,,"21-Hydroxylase-Mangel [AGS Typ 3], klassische Form"
73574,E2501,,"21-Hydroxylase-Mangel [AGS Typ 3], Late-onset-Form"
73575,E2508,,Sonstige angeborene adrenogenitale Störungen in Verbindung mit Enzymmangel
73576,E2509,,"Angeborene adrenogenitale Störung in Verbindung mit Enzymmangel, nicht näher bezeichnet"
73577,E26,,Hyperaldosteronismus
73578,E260,,Primärer Hyperaldosteronismus
73579,E268,,Sonstiger Hyperaldosteronismus
73580,E27,,Sonstige Krankheiten der Nebenniere
73581,E274,,Sonstige und nicht näher bezeichnete Nebennierenrindeninsuffizienz
73582,E28,,Ovarielle Dysfunktion
73583,E283,,Primäre Ovarialinsuffizienz
73584,E29,,Testikuläre Dysfunktion
73585,E30,,"Pubertätsstörungen, anderenorts nicht klassifiziert"
73586,E31,,Polyglanduläre Dysfunktion
73587,E32,,Krankheiten des Thymus
73588,E34,,Sonstige endokrine Störungen
73589,E345,,Androgenresistenz-Syndrom
73590,E3459,,"Androgenresistenz-Syndrom, nicht näher bezeichnet"
73591,E350,,Krankheiten der Schilddrüse bei anderenorts klassifizierten Krankheiten
73592,E351,,Krankheiten der Nebennieren bei anderenorts klassifizierten Krankheiten
73593,E358,,Krankheiten sonstiger endokriner Drüsen bei anderenorts klassifizierten Krankheiten
73594,E44,,Energie- und Eiweißmangelernährung mäßigen und leichten Grades
73595,E50,,Vitamin-A-Mangel
73596,E51,,Thiaminmangel [Vitamin-B1-Mangel]
73597,E511,,Beriberi
73598,E53,,Mangel an sonstigen Vitaminen des Vitamin-B-Komplexes
73599,E55,,Vitamin-D-Mangel
73600,E56,,Sonstige Vitaminmangelzustände
73601,E61,,Mangel an sonstigen Spurenelementen
73602,E63,,Sonstige alimentäre Mangelzustände
73603,E64,,Folgen von Mangelernährung oder sonstigen alimentären Mangelzuständen
73604,E66,,Adipositas
73605,E660,,Adipositas durch übermäßige Kalorienzufuhr
73606,E6600,,Adipositas durch übermäßige Kalorienzufuhr: Adipositas Grad I (WHO) bei Patienten von 18 Jahren und älter
73607,E6602,,Adipositas durch übermäßige Kalorienzufuhr: Adipositas Grad III (WHO) bei Patienten von 18 Jahren und älter
73608,E6604,,Adipositas durch übermäßige Kalorienzufuhr: Adipositas bei Kindern und Jugendlichen von 3 Jahren bis unter 18 Jahren
73609,E6605,,Adipositas durch übermäßige Kalorienzufuhr: Extreme Adipositas bei Kindern und Jugendlichen von 3 Jahren bis unter 18 Jahren
73610,E6610,,Arzneimittelinduzierte Adipositas: Adipositas Grad I (WHO) bei Patienten von 18 Jahren und älter
73611,E6611,,Arzneimittelinduzierte Adipositas: Adipositas Grad II (WHO) bei Patienten von 18 Jahren und älter
73612,E6612,,Arzneimittelinduzierte Adipositas: Adipositas Grad III (WHO) bei Patienten von 18 Jahren und älter
73613,E6614,,Arzneimittelinduzierte Adipositas: Adipositas bei Kindern und Jugendlichen von 3 Jahren bis unter 18 Jahren
73614,E6615,,Arzneimittelinduzierte Adipositas: Extreme Adipositas bei Kindern und Jugendlichen von 3 Jahren bis unter 18 Jahren
73615,E6619,,Arzneimittelinduzierte Adipositas: Grad oder Ausmaß der Adipositas nicht näher bezeichnet
73616,E6620,,Übermäßige Adipositas mit alveolärer Hypoventilation: Adipositas Grad I (WHO) bei Patienten von 18 Jahren und älter
73617,E6621,,Übermäßige Adipositas mit alveolärer Hypoventilation: Adipositas Grad II (WHO) bei Patienten von 18 Jahren und älter
73618,E6622,,Übermäßige Adipositas mit alveolärer Hypoventilation: Adipositas Grad III (WHO) bei Patienten von 18 Jahren und älter
73619,E6624,,Übermäßige Adipositas mit alveolärer Hypoventilation: Adipositas bei Kindern und Jugendlichen von 3 Jahren bis unter 18 Jahren
73620,E6625,,Übermäßige Adipositas mit alveolärer Hypoventilation: Extreme Adipositas bei Kindern und Jugendlichen von 3 Jahren bis unter 18 Jahren
73621,E6629,,Übermäßige Adipositas mit alveolärer Hypoventilation: Grad oder Ausmaß der Adipositas nicht näher bezeichnet
73622,E6680,,Sonstige Adipositas: Adipositas Grad I (WHO) bei Patienten von 18 Jahren und älter
73623,E6681,,Sonstige Adipositas: Adipositas Grad II (WHO) bei Patienten von 18 Jahren und älter
73624,E6682,,Sonstige Adipositas: Adipositas Grad III (WHO) bei Patienten von 18 Jahren und älter
73625,E6684,,Sonstige Adipositas: Adipositas bei Kindern und Jugendlichen von 3 Jahren bis unter 18 Jahren
73626,E6685,,Sonstige Adipositas: Extreme Adipositas bei Kindern und Jugendlichen von 3 Jahren bis unter 18 Jahren
73627,E6689,,Sonstige Adipositas: Grad oder Ausmaß der Adipositas nicht näher bezeichnet
73628,E6690,,"Adipositas, nicht näher bezeichnet: Adipositas Grad I (WHO) bei Patienten von 18 Jahren und älter"
73629,E6691,,"Adipositas, nicht näher bezeichnet: Adipositas Grad II (WHO) bei Patienten von 18 Jahren und älter"
73630,E6692,,"Adipositas, nicht näher bezeichnet: Adipositas Grad III (WHO) bei Patienten von 18 Jahren und älter"
73631,E6694,,"Adipositas, nicht näher bezeichnet: Adipositas bei Kindern und Jugendlichen von 3 Jahren bis unter 18 Jahren"
73632,E6695,,"Adipositas, nicht näher bezeichnet: Extreme Adipositas bei Kindern und Jugendlichen von 3 Jahren bis unter 18 Jahren"
73633,E6699,,"Adipositas, nicht näher bezeichnet: Grad oder Ausmaß der Adipositas nicht näher bezeichnet"
73634,E67,,Sonstige Überernährung
73635,E70,,Störungen des Stoffwechsels aromatischer Aminosäuren
73636,E702,,Störungen des Tyrosinstoffwechsels
73637,E703,,Albinismus
73638,E708,,Sonstige Störungen des Stoffwechsels aromatischer Aminosäuren
73639,E71,,Störungen des Stoffwechsels verzweigter Aminosäuren und des Fettsäurestoffwechsels
73640,E711,,Sonstige Störungen des Stoffwechsels verzweigter Aminosäuren
73641,E713,,Störungen des Fettsäurestoffwechsels
73642,E72,,Sonstige Störungen des Aminosäurestoffwechsels
73643,E720,,Störungen des Aminosäuretransportes
73644,E721,,Störungen des Stoffwechsels schwefelhaltiger Aminosäuren
73645,E722,,Störungen des Harnstoffzyklus
73646,E725,,Störungen des Glyzinstoffwechsels
73647,E728,,Sonstige näher bezeichnete Störungen des Aminosäurestoffwechsels
73648,E73,,Laktoseintoleranz
73649,E74,,Sonstige Störungen des Kohlenhydratstoffwechsels
73650,E740,,Glykogenspeicherkrankheit [Glykogenose]
73651,E741,,Störungen des Fruktosestoffwechsels
73652,E742,,Störungen des Galaktosestoffwechsels
73653,E743,,Sonstige Störungen der intestinalen Kohlenhydratabsorption
73654,E748,,Sonstige näher bezeichnete Störungen des Kohlenhydratstoffwechsels
73655,E75,,Störungen des Sphingolipidstoffwechsels und sonstige Störungen der Lipidspeicherung
73656,E750,,GM2-Gangliosidose
73657,E751,,Sonstige Gangliosidosen
73658,E752,,Sonstige Sphingolipidosen
73659,E76,,Störungen des Glykosaminoglykan-Stoffwechsels
73660,E760,,"Mukopolysaccharidose, Typ I"
73661,E762,,Sonstige Mukopolysaccharidosen
73662,E77,,Störungen des Glykoproteinstoffwechsels
73663,E78,,Störungen des Lipoproteinstoffwechsels und sonstige Lipidämien
73664,E780,,Reine Hypercholesterinämie
73665,E784,,Sonstige Hyperlipidämien
73666,E788,,Sonstige Störungen des Lipoproteinstoffwechsels
73667,E79,,Störungen des Purin- und Pyrimidinstoffwechsels
73668,E80,,Störungen des Porphyrin- und Bilirubinstoffwechsels
73669,E802,,Sonstige Porphyrie
73670,E83,,Störungen des Mineralstoffwechsels
73671,E830,,Störungen des Kupferstoffwechsels
73672,E831,,Störungen des Eisenstoffwechsels
73673,E833,,Störungen des Phosphorstoffwechsels und der Phosphatase
73674,E8338,,Sonstige Störungen des Phosphorstoffwechsels und der Phosphatase
73675,E834,,Störungen des Magnesiumstoffwechsels
73676,E835,,Störungen des Kalziumstoffwechsels
73677,E8358,,Sonstige Störungen des Kalziumstoffwechsels
73678,E838,,Sonstige Störungen des Mineralstoffwechsels
73679,E84,,Zystische Fibrose
73680,E841,,Zystische Fibrose mit Darmmanifestationen
73681,E8480,,Zystische Fibrose mit Lungen- und Darm-Manifestation
73682,E8487,,Zystische Fibrose mit sonstigen multiplen Manifestationen
73683,E8488,,Zystische Fibrose mit sonstigen Manifestationen
73684,E85,,Amyloidose
73685,E858,,Sonstige Amyloidose
73686,E86,,Volumenmangel
73687,E87,,Sonstige Störungen des Wasser- und Elektrolythaushaltes sowie des Säure-Basen-Gleichgewichts
73688,E877,,Flüssigkeitsüberschuss
73689,E88,,Sonstige Stoffwechselstörungen
73690,E880,,"Störungen des Plasmaprotein-Stoffwechsels, anderenorts nicht klassifiziert"
73691,E8820,,"Lipödem, Stadium I"
73692,E8821,,"Lipödem, Stadium II"
73693,E8822,,"Lipödem, Stadium III"
73694,E8828,,Sonstiges oder nicht näher bezeichnetes Lipödem
73695,E8829,,"Sonstige Lipomatose, anderenorts nicht klassifiziert"
73696,E888,,Sonstige näher bezeichnete Stoffwechselstörungen
73697,E89,,"Endokrine und Stoffwechselstörungen nach medizinischen Maßnahmen, anderenorts nicht klassifiziert"
73698,E894,,Ovarialinsuffizienz nach medizinischen Maßnahmen
73699,E898,,Sonstige endokrine oder Stoffwechselstörungen nach medizinischen Maßnahmen
73700,E899,,"Endokrine oder Stoffwechselstörung nach medizinischen Maßnahmen, nicht näher bezeichnet"
73701,E90,,Ernährungs- und Stoffwechselstörungen bei anderenorts klassifizierten Krankheiten
73702,F00,,Demenz bei Alzheimer-Krankheit
73703,F000,,"Demenz bei Alzheimer-Krankheit, mit frühem Beginn (Typ 2)"
73704,F001,,"Demenz bei Alzheimer-Krankheit, mit spätem Beginn (Typ 1)"
73705,F002,,"Demenz bei Alzheimer-Krankheit, atypische oder gemischte Form"
73706,F009,,"Demenz bei Alzheimer-Krankheit, nicht näher bezeichnet"
73707,F01,,Vaskuläre Demenz
73708,F010,,Vaskuläre Demenz mit akutem Beginn
73709,F011,,Multiinfarkt-Demenz
73710,F012,,Subkortikale vaskuläre Demenz
73711,F013,,Gemischte kortikale und subkortikale vaskuläre Demenz
73712,F018,,Sonstige vaskuläre Demenz
73713,F019,,"Vaskuläre Demenz, nicht näher bezeichnet"
73714,F02,,Demenz bei anderenorts klassifizierten Krankheiten
73715,F020,,Demenz bei Pick-Krankheit
73716,F021,,Demenz bei Creutzfeldt-Jakob-Krankheit
73717,F022,,Demenz bei Chorea Huntington
73718,F023,,Demenz bei primärem Parkinson-Syndrom
73719,F024,,Demenz bei HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]
73720,F028,,Demenz bei anderenorts klassifizierten Krankheitsbildern
73721,F03,,Nicht näher bezeichnete Demenz
73722,F050,,Delir ohne Demenz
73723,F051,,Delir bei Demenz
73724,F058,,Sonstige Formen des Delirs
73725,F059,,"Delir, nicht näher bezeichnet"
73726,F06,,Andere psychische Störungen aufgrund einer Schädigung oder Funktionsstörung des Gehirns oder einer körperlichen Krankheit
73727,F063,,Organische affektive Störungen
73728,F065,,Organische dissoziative Störung
73729,F066,,Organische emotional labile [asthenische] Störung
73730,F067,,Leichte kognitive Störung
73731,F069,,Nicht näher bezeichnete organische psychische Störung aufgrund einer Schädigung oder Funktionsstörung des Gehirns oder einer körperlichen Krankheit
73732,F07,,"Persönlichkeits- und Verhaltensstörung aufgrund einer Krankheit, Schädigung oder Funktionsstörung des Gehirns"
73733,F071,,Postenzephalitisches Syndrom
73734,F072,,Organisches Psychosyndrom nach Schädelhirntrauma
73735,F078,,"Sonstige organische Persönlichkeits- und Verhaltensstörungen aufgrund einer Krankheit, Schädigung oder Funktionsstörung des Gehirns"
73736,F10,,Psychische und Verhaltensstörungen durch Alkohol
73737,F100,,Psychische und Verhaltensstörungen durch Alkohol: Akute Intoxikation [akuter Rausch]
73738,F101,,Psychische und Verhaltensstörungen durch Alkohol: Schädlicher Gebrauch
73739,F102,,Psychische und Verhaltensstörungen durch Alkohol: Abhängigkeitssyndrom
73740,F103,,Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom
73741,F104,,Psychische und Verhaltensstörungen durch Alkohol: Entzugssyndrom mit Delir
73742,F105,,Psychische und Verhaltensstörungen durch Alkohol: Psychotische Störung
73743,F106,,Psychische und Verhaltensstörungen durch Alkohol: Amnestisches Syndrom
73744,F107,,Psychische und Verhaltensstörungen durch Alkohol: Restzustand und verzögert auftretende psychotische Störung
73745,F108,,Psychische und Verhaltensstörungen durch Alkohol: Sonstige psychische und Verhaltensstörungen
73746,F109,,Psychische und Verhaltensstörungen durch Alkohol: Nicht näher bezeichnete psychische und Verhaltensstörung
73747,F11,,Psychische und Verhaltensstörungen durch Opioide
73748,F110,,Psychische und Verhaltensstörungen durch Opioide: Akute Intoxikation [akuter Rausch]
73749,F111,,Psychische und Verhaltensstörungen durch Opioide: Schädlicher Gebrauch
73750,F112,,Psychische und Verhaltensstörungen durch Opioide: Abhängigkeitssyndrom
73751,F113,,Psychische und Verhaltensstörungen durch Opioide: Entzugssyndrom
73752,F114,,Psychische und Verhaltensstörungen durch Opioide: Entzugssyndrom mit Delir
73753,F115,,Psychische und Verhaltensstörungen durch Opioide: Psychotische Störung
73754,F116,,Psychische und Verhaltensstörungen durch Opioide: Amnestisches Syndrom
73755,F117,,Psychische und Verhaltensstörungen durch Opioide: Restzustand und verzögert auftretende psychotische Störung
73756,F118,,Psychische und Verhaltensstörungen durch Opioide: Sonstige psychische und Verhaltensstörungen
73757,F119,,Psychische und Verhaltensstörungen durch Opioide: Nicht näher bezeichnete psychische und Verhaltensstörung
73758,F12,,Psychische und Verhaltensstörungen durch Cannabinoide
73759,F120,,Psychische und Verhaltensstörungen durch Cannabinoide: Akute Intoxikation [akuter Rausch]
73760,F121,,Psychische und Verhaltensstörungen durch Cannabinoide: Schädlicher Gebrauch
73761,F122,,Psychische und Verhaltensstörungen durch Cannabinoide: Abhängigkeitssyndrom
73762,F123,,Psychische und Verhaltensstörungen durch Cannabinoide: Entzugssyndrom
73763,F124,,Psychische und Verhaltensstörungen durch Cannabinoide: Entzugssyndrom mit Delir
73764,F125,,Psychische und Verhaltensstörungen durch Cannabinoide: Psychotische Störung
73765,F126,,Psychische und Verhaltensstörungen durch Cannabinoide: Amnestisches Syndrom
73766,F127,,Psychische und Verhaltensstörungen durch Cannabinoide: Restzustand und verzögert auftretende psychotische Störung
73767,F128,,Psychische und Verhaltensstörungen durch Cannabinoide: Sonstige psychische und Verhaltensstörungen
73768,F129,,Psychische und Verhaltensstörungen durch Cannabinoide: Nicht näher bezeichnete psychische und Verhaltensstörung
