,icd_code,icd_code_desc_de
2289,E127,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit multiplen Komplikationen
2290,E1272,"Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit multiplen Komplikationen: Mit sonstigen multiplen Komplikationen, nicht als entgleist bezeichnet"
2291,E1273,"Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit multiplen Komplikationen: Mit sonstigen multiplen Komplikationen, als entgleist bezeichnet"
2292,E1274,"Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit multiplen Komplikationen: Mit diabetischem Fußsyndrom, nicht als entgleist bezeichnet"
2293,E1275,"Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit multiplen Komplikationen: Mit diabetischem Fußsyndrom, als entgleist bezeichnet"
2294,E128,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit nicht näher bezeichneten Komplikationen
2295,E1280,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit nicht näher bezeichneten Komplikationen: Nicht als entgleist bezeichnet
2296,E1281,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Mit nicht näher bezeichneten Komplikationen: Als entgleist bezeichnet
2297,E129,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Ohne Komplikationen
2298,E1290,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Ohne Komplikationen: Nicht als entgleist bezeichnet
2299,E1291,Diabetes mellitus in Verbindung mit Fehl- oder Mangelernährung [Malnutrition]: Ohne Komplikationen: Als entgleist bezeichnet
2300,E13,Sonstiger näher bezeichneter Diabetes mellitus
2301,E130,Sonstiger näher bezeichneter Diabetes mellitus: Mit Koma
2302,E1301,Sonstiger näher bezeichneter Diabetes mellitus: Mit Koma: Als entgleist bezeichnet
2303,E131,Sonstiger näher bezeichneter Diabetes mellitus: Mit Ketoazidose
2304,E1311,Sonstiger näher bezeichneter Diabetes mellitus: Mit Ketoazidose: Als entgleist bezeichnet
2305,E132,Sonstiger näher bezeichneter Diabetes mellitus: Mit Nierenkomplikationen
2306,E1320,Sonstiger näher bezeichneter Diabetes mellitus: Mit Nierenkomplikationen: Nicht als entgleist bezeichnet
2307,E1321,Sonstiger näher bezeichneter Diabetes mellitus: Mit Nierenkomplikationen: Als entgleist bezeichnet
2308,E133,Sonstiger näher bezeichneter Diabetes mellitus: Mit Augenkomplikationen
2309,E1330,Sonstiger näher bezeichneter Diabetes mellitus: Mit Augenkomplikationen: Nicht als entgleist bezeichnet
2310,E1331,Sonstiger näher bezeichneter Diabetes mellitus: Mit Augenkomplikationen: Als entgleist bezeichnet
2311,E134,Sonstiger näher bezeichneter Diabetes mellitus: Mit neurologischen Komplikationen
2312,E1340,Sonstiger näher bezeichneter Diabetes mellitus: Mit neurologischen Komplikationen: Nicht als entgleist bezeichnet
2313,E1341,Sonstiger näher bezeichneter Diabetes mellitus: Mit neurologischen Komplikationen: Als entgleist bezeichnet
2314,E135,Sonstiger näher bezeichneter Diabetes mellitus: Mit peripheren vaskulären Komplikationen
2315,E1350,Sonstiger näher bezeichneter Diabetes mellitus: Mit peripheren vaskulären Komplikationen: Nicht als entgleist bezeichnet
2316,E1351,Sonstiger näher bezeichneter Diabetes mellitus: Mit peripheren vaskulären Komplikationen: Als entgleist bezeichnet
2317,E136,Sonstiger näher bezeichneter Diabetes mellitus: Mit sonstigen näher bezeichneten Komplikationen
2318,E1360,Sonstiger näher bezeichneter Diabetes mellitus: Mit sonstigen näher bezeichneten Komplikationen: Nicht als entgleist bezeichnet
2319,E1361,Sonstiger näher bezeichneter Diabetes mellitus: Mit sonstigen näher bezeichneten Komplikationen: Als entgleist bezeichnet
2320,E137,Sonstiger näher bezeichneter Diabetes mellitus: Mit multiplen Komplikationen
2321,E1372,"Sonstiger näher bezeichneter Diabetes mellitus: Mit multiplen Komplikationen: Mit sonstigen multiplen Komplikationen, nicht als entgleist bezeichnet"
2322,E1373,"Sonstiger näher bezeichneter Diabetes mellitus: Mit multiplen Komplikationen: Mit sonstigen multiplen Komplikationen, als entgleist bezeichnet"
2323,E1374,"Sonstiger näher bezeichneter Diabetes mellitus: Mit multiplen Komplikationen: Mit diabetischem Fußsyndrom, nicht als entgleist bezeichnet"
2324,E1375,"Sonstiger näher bezeichneter Diabetes mellitus: Mit multiplen Komplikationen: Mit diabetischem Fußsyndrom, als entgleist bezeichnet"
2325,E138,Sonstiger näher bezeichneter Diabetes mellitus: Mit nicht näher bezeichneten Komplikationen
2326,E1380,Sonstiger näher bezeichneter Diabetes mellitus: Mit nicht näher bezeichneten Komplikationen: Nicht als entgleist bezeichnet
2327,E1381,Sonstiger näher bezeichneter Diabetes mellitus: Mit nicht näher bezeichneten Komplikationen: Als entgleist bezeichnet
2328,E139,Sonstiger näher bezeichneter Diabetes mellitus: Ohne Komplikationen
2329,E1390,Sonstiger näher bezeichneter Diabetes mellitus: Ohne Komplikationen: Nicht als entgleist bezeichnet
2330,E1391,Sonstiger näher bezeichneter Diabetes mellitus: Ohne Komplikationen: Als entgleist bezeichnet
2331,E14,Nicht näher bezeichneter Diabetes mellitus
2332,E140,Nicht näher bezeichneter Diabetes mellitus: Mit Koma
2333,E1401,Nicht näher bezeichneter Diabetes mellitus: Mit Koma: Als entgleist bezeichnet
2334,E141,Nicht näher bezeichneter Diabetes mellitus: Mit Ketoazidose
2335,E1411,Nicht näher bezeichneter Diabetes mellitus: Mit Ketoazidose: Als entgleist bezeichnet
2336,E142,Nicht näher bezeichneter Diabetes mellitus: Mit Nierenkomplikationen
2337,E1420,Nicht näher bezeichneter Diabetes mellitus: Mit Nierenkomplikationen: Nicht als entgleist bezeichnet
2338,E1421,Nicht näher bezeichneter Diabetes mellitus: Mit Nierenkomplikationen: Als entgleist bezeichnet
2339,E143,Nicht näher bezeichneter Diabetes mellitus: Mit Augenkomplikationen
2340,E1430,Nicht näher bezeichneter Diabetes mellitus: Mit Augenkomplikationen: Nicht als entgleist bezeichnet
2341,E1431,Nicht näher bezeichneter Diabetes mellitus: Mit Augenkomplikationen: Als entgleist bezeichnet
2342,E144,Nicht näher bezeichneter Diabetes mellitus: Mit neurologischen Komplikationen
2343,E1440,Nicht näher bezeichneter Diabetes mellitus: Mit neurologischen Komplikationen: Nicht als entgleist bezeichnet
2344,E1441,Nicht näher bezeichneter Diabetes mellitus: Mit neurologischen Komplikationen: Als entgleist bezeichnet
2345,E145,Nicht näher bezeichneter Diabetes mellitus: Mit peripheren vaskulären Komplikationen
2346,E1450,Nicht näher bezeichneter Diabetes mellitus: Mit peripheren vaskulären Komplikationen: Nicht als entgleist bezeichnet
2347,E1451,Nicht näher bezeichneter Diabetes mellitus: Mit peripheren vaskulären Komplikationen: Als entgleist bezeichnet
2348,E146,Nicht näher bezeichneter Diabetes mellitus: Mit sonstigen näher bezeichneten Komplikationen
2349,E1460,Nicht näher bezeichneter Diabetes mellitus: Mit sonstigen näher bezeichneten Komplikationen: Nicht als entgleist bezeichnet
2350,E1461,Nicht näher bezeichneter Diabetes mellitus: Mit sonstigen näher bezeichneten Komplikationen: Als entgleist bezeichnet
2351,E147,Nicht näher bezeichneter Diabetes mellitus: Mit multiplen Komplikationen
2352,E1472,"Nicht näher bezeichneter Diabetes mellitus: Mit multiplen Komplikationen: Mit sonstigen multiplen Komplikationen, nicht als entgleist bezeichnet"
2353,E1473,"Nicht näher bezeichneter Diabetes mellitus: Mit multiplen Komplikationen: Mit sonstigen multiplen Komplikationen, als entgleist bezeichnet"
2354,E1474,"Nicht näher bezeichneter Diabetes mellitus: Mit multiplen Komplikationen: Mit diabetischem Fußsyndrom, nicht als entgleist bezeichnet"
2355,E1475,"Nicht näher bezeichneter Diabetes mellitus: Mit multiplen Komplikationen: Mit diabetischem Fußsyndrom, als entgleist bezeichnet"
2356,E148,Nicht näher bezeichneter Diabetes mellitus: Mit nicht näher bezeichneten Komplikationen
2357,E1480,Nicht näher bezeichneter Diabetes mellitus: Mit nicht näher bezeichneten Komplikationen: Nicht als entgleist bezeichnet
2358,E1481,Nicht näher bezeichneter Diabetes mellitus: Mit nicht näher bezeichneten Komplikationen: Als entgleist bezeichnet
2359,E149,Nicht näher bezeichneter Diabetes mellitus: Ohne Komplikationen
2360,E1490,Nicht näher bezeichneter Diabetes mellitus: Ohne Komplikationen: Nicht als entgleist bezeichnet
2361,E1491,Nicht näher bezeichneter Diabetes mellitus: Ohne Komplikationen: Als entgleist bezeichnet
2362,E15,"Hypoglykämisches Koma, nichtdiabetisch"
2363,E16,Sonstige Störungen der inneren Sekretion des Pankreas
2364,E160,Arzneimittelinduzierte Hypoglykämie ohne Koma
2365,E161,Sonstige Hypoglykämie
2366,E162,"Hypoglykämie, nicht näher bezeichnet"
2367,E163,Erhöhte Glukagonsekretion
2368,E164,Abnorme Gastrinsekretion
2369,E168,Sonstige näher bezeichnete Störungen der inneren Sekretion des Pankreas
2370,E169,"Störung der inneren Sekretion des Pankreas, nicht näher bezeichnet"
2371,E20,Hypoparathyreoidismus
2372,E200,Idiopathischer Hypoparathyreoidismus
2373,E201,Pseudohypoparathyreoidismus
2374,E208,Sonstiger Hypoparathyreoidismus
2375,E209,"Hypoparathyreoidismus, nicht näher bezeichnet"
2376,E21,Hyperparathyreoidismus und sonstige Krankheiten der Nebenschilddrüse
2377,E210,Primärer Hyperparathyreoidismus
2378,E211,"Sekundärer Hyperparathyreoidismus, anderenorts nicht klassifiziert"
2379,E212,Sonstiger Hyperparathyreoidismus
2380,E213,"Hyperparathyreoidismus, nicht näher bezeichnet"
2381,E214,Sonstige näher bezeichnete Krankheiten der Nebenschilddrüse
2382,E215,"Krankheit der Nebenschilddrüse, nicht näher bezeichnet"
2383,E22,Überfunktion der Hypophyse
2384,E220,Akromegalie und hypophysärer Hochwuchs
2385,E221,Hyperprolaktinämie
2386,E222,Syndrom der inadäquaten Sekretion von Adiuretin
2387,E228,Sonstige Überfunktion der Hypophyse
2388,E229,"Überfunktion der Hypophyse, nicht näher bezeichnet"
2389,E23,Unterfunktion und andere Störungen der Hypophyse
2390,E230,Hypopituitarismus
2391,E231,Arzneimittelinduzierter Hypopituitarismus
2392,E232,Diabetes insipidus
2393,E233,"Hypothalamische Dysfunktion, anderenorts nicht klassifiziert"
2394,E236,Sonstige Störungen der Hypophyse
2395,E237,"Störung der Hypophyse, nicht näher bezeichnet"
2396,E24,Cushing-Syndrom
2397,E240,Hypophysäres Cushing-Syndrom
2398,E241,Nelson-Tumor
2399,E242,Arzneimittelinduziertes Cushing-Syndrom
2400,E243,Ektopisches ACTH-Syndrom
2401,E244,Alkoholinduziertes Pseudo-Cushing-Syndrom
2402,E248,Sonstiges Cushing-Syndrom
2403,E249,"Cushing-Syndrom, nicht näher bezeichnet"
2404,E25,Adrenogenitale Störungen
2405,E250,Angeborene adrenogenitale Störungen in Verbindung mit Enzymmangel
2406,E2500,"21-Hydroxylase-Mangel [AGS Typ 3], klassische Form"
2407,E2501,"21-Hydroxylase-Mangel [AGS Typ 3], Late-onset-Form"
2408,E2508,Sonstige angeborene adrenogenitale Störungen in Verbindung mit Enzymmangel
2409,E2509,"Angeborene adrenogenitale Störung in Verbindung mit Enzymmangel, nicht näher bezeichnet"
2410,E258,Sonstige adrenogenitale Störungen
2411,E259,"Adrenogenitale Störung, nicht näher bezeichnet"
2412,E26,Hyperaldosteronismus
2413,E260,Primärer Hyperaldosteronismus
2414,E261,Sekundärer Hyperaldosteronismus
2415,E268,Sonstiger Hyperaldosteronismus
2416,E269,"Hyperaldosteronismus, nicht näher bezeichnet"
2417,E27,Sonstige Krankheiten der Nebenniere
2418,E270,Sonstige Nebennierenrindenüberfunktion
2419,E271,Primäre Nebennierenrindeninsuffizienz
2420,E272,Addison-Krise
2421,E273,Arzneimittelinduzierte Nebennierenrindeninsuffizienz
2422,E274,Sonstige und nicht näher bezeichnete Nebennierenrindeninsuffizienz
2423,E275,Nebennierenmarküberfunktion
2424,E278,Sonstige näher bezeichnete Krankheiten der Nebenniere
2425,E279,"Krankheit der Nebenniere, nicht näher bezeichnet"
2426,E28,Ovarielle Dysfunktion
2427,E280,Ovarielle Dysfunktion: Östrogenüberschuss
2428,E281,Ovarielle Dysfunktion: Androgenüberschuss
2429,E282,Syndrom polyzystischer Ovarien
2430,E283,Primäre Ovarialinsuffizienz
2431,E288,Sonstige ovarielle Dysfunktion
2432,E289,"Ovarielle Dysfunktion, nicht näher bezeichnet"
2433,E29,Testikuläre Dysfunktion
2434,E290,Testikuläre Überfunktion
2435,E291,Testikuläre Unterfunktion
2436,E298,Sonstige testikuläre Dysfunktion
2437,E299,"Testikuläre Dysfunktion, nicht näher bezeichnet"
2438,E30,"Pubertätsstörungen, anderenorts nicht klassifiziert"
2439,E300,Verzögerte Pubertät [Pubertas tarda]
2440,E301,Vorzeitige Pubertät [Pubertas praecox]
2441,E308,Sonstige Pubertätsstörungen
2442,E309,"Pubertätsstörung, nicht näher bezeichnet"
2443,E31,Polyglanduläre Dysfunktion
2444,E310,Autoimmune polyglanduläre Insuffizienz
2445,E311,Polyglanduläre Überfunktion
2446,E318,Sonstige polyglanduläre Dysfunktion
2447,E319,"Polyglanduläre Dysfunktion, nicht näher bezeichnet"
2448,E32,Krankheiten des Thymus
2449,E320,Persistierende Thymushyperplasie
2450,E321,Abszess des Thymus
2451,E328,Sonstige Krankheiten des Thymus
2452,E329,"Krankheit des Thymus, nicht näher bezeichnet"
2453,E34,Sonstige endokrine Störungen
2454,E340,Karzinoid-Syndrom
2455,E341,Sonstige Hypersekretion intestinaler Hormone
2456,E342,"Ektopische Hormonsekretion, anderenorts nicht klassifiziert"
2457,E343,"Kleinwuchs, anderenorts nicht klassifiziert"
2458,E344,Konstitutioneller Hochwuchs
2459,E345,Androgenresistenz-Syndrom
2460,E3450,Partielles Androgenresistenz-Syndrom
2461,E3451,Komplettes Androgenresistenz-Syndrom
2462,E3459,"Androgenresistenz-Syndrom, nicht näher bezeichnet"
2463,E348,Sonstige näher bezeichnete endokrine Störungen
2464,E349,"Endokrine Störung, nicht näher bezeichnet"
2465,E35,Störungen der endokrinen Drüsen bei anderenorts klassifizierten Krankheiten
2466,E350,Krankheiten der Schilddrüse bei anderenorts klassifizierten Krankheiten
2467,E351,Krankheiten der Nebennieren bei anderenorts klassifizierten Krankheiten
2468,E358,Krankheiten sonstiger endokriner Drüsen bei anderenorts klassifizierten Krankheiten
2469,E40,Kwashiorkor
2470,E41,Alimentärer Marasmus
2471,E42,Kwashiorkor-Marasmus
2472,E43,Nicht näher bezeichnete erhebliche Energie- und Eiweißmangelernährung
2473,E44,Energie- und Eiweißmangelernährung mäßigen und leichten Grades
2474,E440,Mäßige Energie- und Eiweißmangelernährung
2475,E441,Leichte Energie- und Eiweißmangelernährung
2476,E45,Entwicklungsverzögerung durch Energie- und Eiweißmangelernährung
2477,E46,Nicht näher bezeichnete Energie- und Eiweißmangelernährung
2478,E50,Vitamin-A-Mangel
2479,E500,Vitamin-A-Mangel mit Xerosis conjunctivae
2480,E501,Vitamin-A-Mangel mit Bitot-Flecken und Xerosis conjunctivae
2481,E502,Vitamin-A-Mangel mit Hornhautxerose
2482,E503,Vitamin-A-Mangel mit Hornhautulzeration und Hornhautxerose
2483,E504,Vitamin-A-Mangel mit Keratomalazie
2484,E505,Vitamin-A-Mangel mit Nachtblindheit
2485,E506,Vitamin-A-Mangel mit xerophthalmischen Narben der Hornhaut
2486,E507,Sonstige Manifestationen des Vitamin-A-Mangels am Auge
2487,E508,Sonstige Manifestationen des Vitamin-A-Mangels
2488,E509,"Vitamin-A-Mangel, nicht näher bezeichnet"
2489,E51,Thiaminmangel [Vitamin-B1-Mangel]
2490,E511,Beriberi
2491,E512,Wernicke-Enzephalopathie
2492,E518,Sonstige Manifestationen des Thiaminmangels
2493,E519,"Thiaminmangel, nicht näher bezeichnet"
2494,E52,Niazinmangel [Pellagra]
2495,E53,Mangel an sonstigen Vitaminen des Vitamin-B-Komplexes
2496,E530,Riboflavinmangel
2497,E531,Pyridoxinmangel
2498,E538,Mangel an sonstigen näher bezeichneten Vitaminen des Vitamin-B-Komplexes
2499,E539,"Vitamin-B-Mangel, nicht näher bezeichnet"
2500,E54,Ascorbinsäuremangel
2501,E55,Vitamin-D-Mangel
2502,E550,Floride Rachitis
2503,E559,"Vitamin-D-Mangel, nicht näher bezeichnet"
2504,E56,Sonstige Vitaminmangelzustände
2505,E560,Vitamin-E-Mangel
2506,E561,Vitamin-K-Mangel
2507,E568,Mangel an sonstigen Vitaminen
2508,E569,"Vitaminmangel, nicht näher bezeichnet"
2509,E58,Alimentärer Kalziummangel
2510,E59,Alimentärer Selenmangel
2511,E60,Alimentärer Zinkmangel
2512,E61,Mangel an sonstigen Spurenelementen
2513,E610,Kupfermangel
2514,E611,Eisenmangel
2515,E612,Magnesiummangel
2516,E613,Manganmangel
2517,E614,Chrommangel
2518,E615,Molybdänmangel
2519,E616,Vanadiummangel
2520,E617,Mangel an mehreren Spurenelementen
2521,E618,Mangel an sonstigen näher bezeichneten Spurenelementen
2522,E619,"Spurenelementmangel, nicht näher bezeichnet"
2523,E63,Sonstige alimentäre Mangelzustände
2524,E630,Mangel an essentiellen Fettsäuren [EFA]
2525,E631,Alimentärer Mangelzustand infolge unausgewogener Zusammensetzung der Nahrung
2526,E638,Sonstige näher bezeichnete alimentäre Mangelzustände
2527,E639,"Alimentärer Mangelzustand, nicht näher bezeichnet"
2528,E64,Folgen von Mangelernährung oder sonstigen alimentären Mangelzuständen
2529,E640,Folgen der Energie- und Eiweißmangelernährung
2530,E641,Folgen des Vitamin-A-Mangels
2531,E642,Folgen des Vitamin-C-Mangels
2532,E643,Folgen der Rachitis
2533,E648,Folgen sonstiger alimentärer Mangelzustände
2534,E649,Folgen eines nicht näher bezeichneten alimentären Mangelzustandes
2535,E65,Lokalisierte Adipositas
2536,E66,Adipositas
2537,E660,Adipositas durch übermäßige Kalorienzufuhr
2538,E6600,Adipositas durch übermäßige Kalorienzufuhr: Adipositas Grad I (WHO) bei Patienten von 18 Jahren und älter
2539,E6601,Adipositas durch übermäßige Kalorienzufuhr: Adipositas Grad II (WHO) bei Patienten von 18 Jahren und älter
2540,E6602,Adipositas durch übermäßige Kalorienzufuhr: Adipositas Grad III (WHO) bei Patienten von 18 Jahren und älter
2541,E6604,Adipositas durch übermäßige Kalorienzufuhr: Adipositas bei Kindern und Jugendlichen von 3 Jahren bis unter 18 Jahren
2542,E6605,Adipositas durch übermäßige Kalorienzufuhr: Extreme Adipositas bei Kindern und Jugendlichen von 3 Jahren bis unter 18 Jahren
2543,E6609,Adipositas durch übermäßige Kalorienzufuhr: Grad oder Ausmaß der Adipositas nicht näher bezeichnet
2544,E661,Arzneimittelinduzierte Adipositas
2545,E6610,Arzneimittelinduzierte Adipositas: Adipositas Grad I (WHO) bei Patienten von 18 Jahren und älter
2546,E6611,Arzneimittelinduzierte Adipositas: Adipositas Grad II (WHO) bei Patienten von 18 Jahren und älter
2547,E6612,Arzneimittelinduzierte Adipositas: Adipositas Grad III (WHO) bei Patienten von 18 Jahren und älter
2548,E6614,Arzneimittelinduzierte Adipositas: Adipositas bei Kindern und Jugendlichen von 3 Jahren bis unter 18 Jahren
2549,E6615,Arzneimittelinduzierte Adipositas: Extreme Adipositas bei Kindern und Jugendlichen von 3 Jahren bis unter 18 Jahren
2550,E6619,Arzneimittelinduzierte Adipositas: Grad oder Ausmaß der Adipositas nicht näher bezeichnet
2551,E662,Übermäßige Adipositas mit alveolärer Hypoventilation
2552,E6620,Übermäßige Adipositas mit alveolärer Hypoventilation: Adipositas Grad I (WHO) bei Patienten von 18 Jahren und älter
2553,E6621,Übermäßige Adipositas mit alveolärer Hypoventilation: Adipositas Grad II (WHO) bei Patienten von 18 Jahren und älter
2554,E6622,Übermäßige Adipositas mit alveolärer Hypoventilation: Adipositas Grad III (WHO) bei Patienten von 18 Jahren und älter
2555,E6624,Übermäßige Adipositas mit alveolärer Hypoventilation: Adipositas bei Kindern und Jugendlichen von 3 Jahren bis unter 18 Jahren
2556,E6625,Übermäßige Adipositas mit alveolärer Hypoventilation: Extreme Adipositas bei Kindern und Jugendlichen von 3 Jahren bis unter 18 Jahren
2557,E6629,Übermäßige Adipositas mit alveolärer Hypoventilation: Grad oder Ausmaß der Adipositas nicht näher bezeichnet
2558,E668,Sonstige Adipositas
2559,E6680,Sonstige Adipositas: Adipositas Grad I (WHO) bei Patienten von 18 Jahren und älter
2560,E6681,Sonstige Adipositas: Adipositas Grad II (WHO) bei Patienten von 18 Jahren und älter
2561,E6682,Sonstige Adipositas: Adipositas Grad III (WHO) bei Patienten von 18 Jahren und älter
2562,E6684,Sonstige Adipositas: Adipositas bei Kindern und Jugendlichen von 3 Jahren bis unter 18 Jahren
2563,E6685,Sonstige Adipositas: Extreme Adipositas bei Kindern und Jugendlichen von 3 Jahren bis unter 18 Jahren
2564,E6689,Sonstige Adipositas: Grad oder Ausmaß der Adipositas nicht näher bezeichnet
2565,E669,"Adipositas, nicht näher bezeichnet"
2566,E6690,"Adipositas, nicht näher bezeichnet: Adipositas Grad I (WHO) bei Patienten von 18 Jahren und älter"
2567,E6691,"Adipositas, nicht näher bezeichnet: Adipositas Grad II (WHO) bei Patienten von 18 Jahren und älter"
2568,E6692,"Adipositas, nicht näher bezeichnet: Adipositas Grad III (WHO) bei Patienten von 18 Jahren und älter"
2569,E6694,"Adipositas, nicht näher bezeichnet: Adipositas bei Kindern und Jugendlichen von 3 Jahren bis unter 18 Jahren"
2570,E6695,"Adipositas, nicht näher bezeichnet: Extreme Adipositas bei Kindern und Jugendlichen von 3 Jahren bis unter 18 Jahren"
2571,E6699,"Adipositas, nicht näher bezeichnet: Grad oder Ausmaß der Adipositas nicht näher bezeichnet"
2572,E67,Sonstige Überernährung
2573,E670,Hypervitaminose A
2574,E671,Hyperkarotinämie
2575,E672,Megavitamin-B6-Syndrom
2576,E673,Hypervitaminose D
2577,E678,Sonstige näher bezeichnete Überernährung
2578,E68,Folgen der Überernährung
2579,E70,Störungen des Stoffwechsels aromatischer Aminosäuren
2580,E700,Klassische Phenylketonurie
2581,E701,Sonstige Hyperphenylalaninämien
2582,E702,Störungen des Tyrosinstoffwechsels
2583,E703,Albinismus
2584,E708,Sonstige Störungen des Stoffwechsels aromatischer Aminosäuren
2585,E709,"Störung des Stoffwechsels aromatischer Aminosäuren, nicht näher bezeichnet"
2586,E71,Störungen des Stoffwechsels verzweigter Aminosäuren und des Fettsäurestoffwechsels
2587,E710,Ahornsirup- (Harn-) Krankheit
2588,E711,Sonstige Störungen des Stoffwechsels verzweigter Aminosäuren
2589,E712,"Störung des Stoffwechsels verzweigter Aminosäuren, nicht näher bezeichnet"
2590,E713,Störungen des Fettsäurestoffwechsels
2591,E72,Sonstige Störungen des Aminosäurestoffwechsels
2592,E720,Störungen des Aminosäuretransportes
2593,E721,Störungen des Stoffwechsels schwefelhaltiger Aminosäuren
2594,E722,Störungen des Harnstoffzyklus
2595,E723,Störungen des Lysin- und Hydroxylysinstoffwechsels
2596,E724,Störungen des Ornithinstoffwechsels
2597,E725,Störungen des Glyzinstoffwechsels
2598,E728,Sonstige näher bezeichnete Störungen des Aminosäurestoffwechsels
2599,E729,"Störung des Aminosäurestoffwechsels, nicht näher bezeichnet"
2600,E73,Laktoseintoleranz
2601,E730,Angeborener Laktasemangel
2602,E731,Sekundärer Laktasemangel
2603,E738,Sonstige Laktoseintoleranz
2604,E739,"Laktoseintoleranz, nicht näher bezeichnet"
2605,E74,Sonstige Störungen des Kohlenhydratstoffwechsels
2606,E740,Glykogenspeicherkrankheit [Glykogenose]
2607,E741,Störungen des Fruktosestoffwechsels
2608,E742,Störungen des Galaktosestoffwechsels
2609,E743,Sonstige Störungen der intestinalen Kohlenhydratabsorption
2610,E744,Störungen des Pyruvatstoffwechsels und der Glukoneogenese
2611,E748,Sonstige näher bezeichnete Störungen des Kohlenhydratstoffwechsels
2612,E749,"Störung des Kohlenhydratstoffwechsels, nicht näher bezeichnet"
2613,E75,Störungen des Sphingolipidstoffwechsels und sonstige Störungen der Lipidspeicherung
2614,E750,GM2-Gangliosidose
2615,E751,Sonstige Gangliosidosen
2616,E752,Sonstige Sphingolipidosen
2617,E753,"Sphingolipidose, nicht näher bezeichnet"
2618,E754,Neuronale Zeroidlipofuszinose
2619,E755,Sonstige Störungen der Lipidspeicherung
2620,E756,"Störung der Lipidspeicherung, nicht näher bezeichnet"
2621,E76,Störungen des Glykosaminoglykan-Stoffwechsels
2622,E760,"Mukopolysaccharidose, Typ I"
2623,E761,"Mukopolysaccharidose, Typ II"
2624,E762,Sonstige Mukopolysaccharidosen
2625,E763,"Mukopolysaccharidose, nicht näher bezeichnet"
2626,E768,Sonstige Störungen des Glykosaminoglykan-Stoffwechsels
2627,E769,"Störung des Glykosaminoglykan-Stoffwechsels, nicht näher bezeichnet"
2628,E77,Störungen des Glykoproteinstoffwechsels
2629,E770,Defekte der posttranslationalen Modifikation lysosomaler Enzyme
2630,E771,Defekte beim Glykoproteinabbau
2631,E778,Sonstige Störungen des Glykoproteinstoffwechsels
2632,E779,"Störung des Glykoproteinstoffwechsels, nicht näher bezeichnet"
2633,E78,Störungen des Lipoproteinstoffwechsels und sonstige Lipidämien
2634,E780,Reine Hypercholesterinämie
2635,E781,Reine Hypertriglyzeridämie
2636,E782,Gemischte Hyperlipidämie
2637,E783,Hyperchylomikronämie
2638,E784,Sonstige Hyperlipidämien
2639,E785,"Hyperlipidämie, nicht näher bezeichnet"
2640,E786,Lipoproteinmangel
2641,E788,Sonstige Störungen des Lipoproteinstoffwechsels
2642,E789,"Störung des Lipoproteinstoffwechsels, nicht näher bezeichnet"
2643,E79,Störungen des Purin- und Pyrimidinstoffwechsels
2644,E790,Hyperurikämie ohne Zeichen von entzündlicher Arthritis oder tophischer Gicht
2645,E791,Lesch-Nyhan-Syndrom
2646,E798,Sonstige Störungen des Purin- und Pyrimidinstoffwechsels
2647,E799,"Störung des Purin- und Pyrimidinstoffwechsels, nicht näher bezeichnet"
2648,E80,Störungen des Porphyrin- und Bilirubinstoffwechsels
2649,E800,Hereditäre erythropoetische Porphyrie
2650,E801,Porphyria cutanea tarda
2651,E802,Sonstige Porphyrie
2652,E803,Defekte von Katalase und Peroxidase
2653,E804,Gilbert-Meulengracht-Syndrom
2654,E805,Crigler-Najjar-Syndrom
2655,E806,Sonstige Störungen des Bilirubinstoffwechsels
2656,E807,"Störung des Bilirubinstoffwechsels, nicht näher bezeichnet"
2657,E83,Störungen des Mineralstoffwechsels
2658,E830,Störungen des Kupferstoffwechsels
2659,E831,Störungen des Eisenstoffwechsels
2660,E832,Störungen des Zinkstoffwechsels
2661,E833,Störungen des Phosphorstoffwechsels und der Phosphatase
2662,E8330,Familiäre hypophosphatämische Rachitis
2663,E8331,Vitamin-D-abhängige Rachitis
2664,E8338,Sonstige Störungen des Phosphorstoffwechsels und der Phosphatase
2665,E8339,"Störungen des Phosphorstoffwechsels und der Phosphatase, nicht näher bezeichnet"
2666,E834,Störungen des Magnesiumstoffwechsels
2667,E835,Störungen des Kalziumstoffwechsels
2668,E8350,Kalziphylaxie
2669,E8358,Sonstige Störungen des Kalziumstoffwechsels
2670,E8359,"Störungen des Kalziumstoffwechsels, nicht näher bezeichnet"
2671,E838,Sonstige Störungen des Mineralstoffwechsels
2672,E839,"Störung des Mineralstoffwechsels, nicht näher bezeichnet"
2673,E84,Zystische Fibrose
2674,E840,Zystische Fibrose mit Lungenmanifestationen
2675,E841,Zystische Fibrose mit Darmmanifestationen
